Srvy_Nm,Species,Common,Site,Trail,Camr_Nm,Paired,Latitud,Longitd,X,Y,UTM zone,Cmr_S_D,Cmr_E_D,Date,Time
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Old logging road,PU54B,No,5.3195248,101.4739894,774200,588533,,9/10/09,1/16/10,9/18/09,21:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU54C,No,5.3120092,101.465391,773249,587698,,1/17/10,4/3/10,1/23/10,9:27
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU54C,No,5.3120092,101.465391,773249,587698,,1/17/10,4/3/10,2/27/10,20:28
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55A,No,5.3196321,101.4844926,775364,588550,,9/9/09,1/15/10,12/3/09,6:33
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55A,No,5.3196321,101.4844926,775364,588550,,9/9/09,1/15/10,12/5/09,20:30
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55A,No,5.3196321,101.4844926,775364,588550,,9/9/09,1/15/10,12/6/09,4:05
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU55C,No,5.3133017,101.4858406,775517,587850,,1/16/10,4/4/10,1/27/10,20:03
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56A,No,5.3013492,101.4298007,769307,586503,,8/24/09,1/8/10,9/2/09,5:25
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56A,No,5.3013492,101.4298007,769307,586503,,8/24/09,1/8/10,10/4/09,6:12
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56B,No,5.3009255,101.4380877,770226,586460,,1/8/10,3/28/10,1/10/10,19:47
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56B,No,5.3009255,101.4380877,770226,586460,,1/8/10,3/28/10,2/4/10,3:27
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU56B,No,5.3009255,101.4380877,770226,586460,,1/8/10,3/28/10,3/13/10,5:44
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU59C,No,5.2938275,101.4871077,775666,585696,,9/4/09,1/18/10,11/3/09,22:01
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU59C,No,5.2938275,101.4871077,775666,585696,,9/4/09,1/18/10,12/11/09,7:06
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU59C,No,5.2938275,101.4871077,775666,585696,,9/4/09,1/18/10,12/29/09,19:13
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/09,1/7/10,8/21/09,20:58
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/09,1/7/10,9/5/09,23:35
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/09,1/7/10,9/25/09,6:51
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/09,1/7/10,10/1/09,1:49
Belum-Temengor Tiger Monitoring Survey 2009-2011,Tapirus indicus,Malayan tapir,Temengor Forest Reserve,Ridge,PU60A,No,5.2851361,101.4328547,769653,584711,,8/18/09,1/7/10,11/13/09,19:40
