"species","lat","lon","hour","date","datetime"
"Tapirus indicus",5.76404638,101.6176125,"23:29",10-10-12,2010-10-12 23:29:00
"Tapirus indicus",5.71391053,101.6134423,"2:03",10-10-13,2010-10-13 02:03:00
"Tapirus indicus",5.80801089,101.5979368,"6:47",10-10-13,2010-10-13 06:47:00
"Tapirus indicus",5.80801089,101.5979368,"20:22",10-10-13,2010-10-13 20:22:00
"Tapirus indicus",5.75279468,101.5049839,"22:07",10-10-13,2010-10-13 22:07:00
"Tapirus indicus",5.76559502,101.573272,"19:56",10-10-14,2010-10-14 19:56:00
"Tapirus indicus",5.76849357,101.5983534,"7:37",10-10-15,2010-10-15 07:37:00
"Tapirus indicus",5.76851653,101.5437676,"21:19",10-10-15,2010-10-15 21:19:00
"Tapirus indicus",5.76404638,101.6176125,"23:53",10-10-15,2010-10-15 23:53:00
"Tapirus indicus",5.74399402,101.5159516,"21:26",10-10-16,2010-10-16 21:26:00
"Tapirus indicus",5.73067744,101.5521608,"19:32",10-10-17,2010-10-17 19:32:00
"Tapirus indicus",5.80801089,101.5979368,"0:34",10-10-18,2010-10-18 00:34:00
