,X,Y,Camr_Nm,Precip,Elev,HFI,d.Road
50,101.411685,5.406933418,PU28A,192.25,328,0,1432.315189
51,101.4130906,5.404631303,PU28C,192.25,311,0,1193.348861
52,101.4267769,5.408977064,PU29A,191.33333,289,0,767.4642254
53,101.4465149,5.405390298,PU30A,195.33333,330,0,759.4303892
54,101.4579983,5.400793119,PU30D,197.33333,453,0,1132.347759
55,101.4742779,5.410372977,PU31B,193.16667,351,7,803.841649
56,101.475205,5.401774508,PU31D,196,354,7,804.8779177
57,101.4879934,5.410982155,PU32A,203.41667,606,0,411.3649114
58,101.4942975,5.406034837,PU32B,209.91667,656,0,831.2140526
59,101.5024771,5.401608307,PU33C,215.16667,733,0,1779.248161
60,101.5120446,5.401020375,PU33D,220,602,0,2832.332734
61,101.4153102,5.38957908,PU34A,198.08333,471,0,140.1446394
62,101.4199853,5.380232085,PU34D,200.25,455,0,1166.303358
63,101.4335179,5.393730137,PU35A,197.33333,409,0,337.5340484
64,101.436732,5.380896641,PU35D,202.66667,477,0,376.6666089
65,101.4457699,5.37925903,PU36C,207.25,571,0,516.9699318
66,101.4557746,5.380310276,PU36D,206.66667,602,0,951.4556241
